ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
B_01333	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	Unidentified
B_01334	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus Nostocoida	Unidentified
B_01335	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unidentified	Unidentified
B_01336	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unidentified	Unidentified
B_01337	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Unidentified	Unidentified	Unidentified
B_01338	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	Unidentified	Unidentified	Unidentified
B_01339	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Unidentified	Unidentified	Unidentified
B_01340	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unidentified	Unidentified
B_01341	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unidentified	Unidentified
B_01342	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unidentified	Unidentified	Unidentified
B_01343	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus Nostocoida	Unidentified
B_01344	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unidentified	Unidentified	Unidentified
B_01345	Bacteria	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
B_01346	Bacteria	Chloroflexi	Anaerolineae	SBR1031	Unidentified	Unidentified	Unidentified
B_01347	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	Unidentified
B_01348	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Unidentified
B_01349	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unidentified	Unidentified	Unidentified
B_01350	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	Unidentified
B_01351	Bacteria	Armatimonadota	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
B_01352	Bacteria	Chloroflexi	Anaerolineae	SBR1031	Unidentified	Unidentified	Unidentified
B_01353	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Unidentified	Unidentified
B_01354	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unidentified	Unidentified
B_01355	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unidentified
B_01356	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Unidentified	Unidentified
B_01357	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Unidentified	Unidentified
B_01358	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Unidentified	Unidentified	Unidentified
B_01359	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unidentified	Unidentified
B_01360	Bacteria	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
B_01361	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	Unidentified	Unidentified
B_01362	Bacteria	RCP2-54	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
B_01363	Bacteria	Chloroflexi	JG30-KF-CM66	Unidentified	Unidentified	Unidentified	Unidentified
B_01364	Bacteria	Chloroflexi	KD4-96	Unidentified	Unidentified	Unidentified	Unidentified
B_01365	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unidentified	Unidentified
B_01366	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	Unidentified
B_01367	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila-Silvibacterium	Unidentified
B_01368	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	Unidentified	Unidentified
B_01369	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unidentified	Unidentified
B_01370	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Unidentified	Unidentified	Unidentified
B_01371	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	parabrevis
B_01372	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unidentified	Unidentified
B_01373	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	Unidentified
B_01374	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unidentified	Unidentified	Unidentified
B_01375	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Unidentified
B_01376	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Unidentified	Unidentified	Unidentified
B_01377	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	Unidentified
B_01378	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Unidentified	Unidentified
B_01379	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	Unidentified
B_01380	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unidentified
B_01381	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Unidentified
B_01382	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified	Unidentified
B_01383	Archaea	Halobacterota	Halobacteria	Halobacterales	Halomicrobiaceae	Halomarina	Unidentified
B_01384	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	Unidentified
B_01385	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Unidentified
B_01386	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Unidentified	Unidentified
B_01387	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Unidentified
