Taxa,plant,ra,z_land,p_land,z_even,p_even,p_land_BH,p_even_BH,target,target_k,target_p,target_c,guild
Lactarius,Pinus,perc75,0.786533327141478,0.189418941894189,-1.15926720579577,0.168216821682168,0.25049230159124,0.29453850243913,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Acer,perc25,2.64014835338759,0.0019001900190019,2.26505363702422,0.0273027302730273,0.00436181628075122,0.106555013478001,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Acer,median,2.08578513088507,0.0159015901590159,1.77126908047279,0.0512051205120512,0.0295322252768152,0.150907157317103,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Acer,perc75,3.92591750988972,0.0011001100110011,-0.381246922227168,0.444644464446445,0.00263684807971243,0.499119982814532,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Populus,perc25,0.684336761280636,0.209120912091209,0.856318706384411,0.153715371537154,0.272065041422033,0.282116226261236,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Populus,median,-0.124159162532567,0.472847284728473,0.416677459865955,0.300930093009301,0.537476590777824,0.406644031406508,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Populus,perc75,4.57738439919459,0.0054005400540054,-0.0636147174428873,0.5002500250025,0.0112010512108738,0.533021361626248,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Juglans,perc25,NA,NA,NA,NA,NA,NA,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Juglans,median,NA,NA,NA,NA,NA,NA,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Juglans,perc75,NA,NA,NA,NA,NA,NA,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Betula,perc25,-0.401009079874213,0.30963096309631,-0.0745455071366173,0.60976097609761,0.377233514529114,0.640408648194662,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
